Planet Id,Region Id,Constellation Id,System Id,Planet Name,Planet Type Id
40000481,10000001,20000002,30000009,Sooma VI,2
40000484,10000001,20000002,30000009,Sooma VII,4
40000505,10000001,20000002,30000009,Sooma VIII,4
40000516,10000001,20000002,30000009,Sooma IX,4
40000527,10000001,20000002,30000009,Sooma X,6
40000533,10000001,20000002,30000010,Chidah I,2
40000534,10000001,20000002,30000010,Chidah II,2
40000535,10000001,20000002,30000010,Chidah III,2
40000537,10000001,20000002,30000010,Chidah IV,2
40000540,10000001,20000002,30000010,Chidah V,4
40000553,10000001,20000002,30000010,Chidah VI,2
40000555,10000001,20000002,30000010,Chidah VII,4
40000570,10000001,20000002,30000010,Chidah VIII,4
40000597,10000001,20000002,30000010,Chidah IX,5
40000599,10000001,20000002,30000010,Chidah X,2
40000605,10000001,20000002,30000011,Shenela I,2
40000607,10000001,20000002,30000011,Shenela II,2
40000608,10000001,20000002,30000011,Shenela III,2
40000611,10000001,20000002,30000011,Shenela IV,4
40000632,10000001,20000002,30000011,Shenela V,1
40000635,10000001,20000002,30000011,Shenela VI,4
40000663,10000001,20000002,30000012,Asabona I,2
40000665,10000001,20000002,30000012,Asabona II,5
40000667,10000001,20000002,30000012,Asabona III,1
40000670,10000001,20000002,30000012,Asabona IV,1
40000672,10000001,20000002,30000012,Asabona V,4
40000679,10000001,20000002,30000012,Asabona VI,4
40000686,10000001,20000002,30000012,Asabona VII,7
40000689,10000001,20000002,30000012,Asabona VIII,4
40000715,10000001,20000002,30000012,Asabona IX,4
40000741,10000001,20000002,30000012,Asabona X,4
40000767,10000001,20000002,30000012,Asabona XI,2
40000770,10000001,20000002,30000013,Onsooh I,8
40000772,10000001,20000002,30000013,Onsooh II,5
40000774,10000001,20000002,30000013,Onsooh III,2
40000776,10000001,20000002,30000013,Onsooh IV,1
40000779,10000001,20000002,30000013,Onsooh V,1
40000781,10000001,20000002,30000013,Onsooh VI,1
40000783,10000001,20000002,30000013,Onsooh VII,4
40000799,10000001,20000002,30000013,Onsooh VIII,4
40000824,10000001,20000002,30000013,Onsooh IX,6
40000854,10000001,20000002,30000013,Onsooh X,2
40000861,10000001,20000002,30000014,Shamahi I,2
40000862,10000001,20000002,30000014,Shamahi II,5
40000864,10000001,20000002,30000014,Shamahi III,5
40000866,10000001,20000002,30000014,Shamahi IV,2
40000868,10000001,20000002,30000014,Shamahi V,5
40000869,10000001,20000002,30000014,Shamahi VI,4
40000888,10000001,20000002,30000014,Shamahi VII,4
40000908,10000001,20000002,30000014,Shamahi VIII,7
40000916,10000001,20000002,30000014,Shamahi IX,6
40000940,10000001,20000002,30000014,Shamahi X,2
40000942,10000001,20000002,30000015,Sendaya I,5
40000943,10000001,20000002,30000015,Sendaya II,2
40000945,10000001,20000002,30000015,Sendaya III,2
40000947,10000001,20000002,30000015,Sendaya IV,7
40000949,10000001,20000002,30000015,Sendaya V,1
40000953,10000001,20000002,30000015,Sendaya VI,4
40000966,10000001,20000002,30000015,Sendaya VII,4
40000989,10000001,20000002,30000015,Sendaya VIII,2
40000993,10000001,20000002,30000015,Sendaya IX,2
40001000,10000001,20000002,30000016,Nazhgete I,2
40001002,10000001,20000002,30000016,Nazhgete II,2
40001004,10000001,20000002,30000016,Nazhgete III,1
40001006,10000001,20000002,30000016,Nazhgete IV,7
40001009,10000001,20000002,30000016,Nazhgete V,4
40001012,10000001,20000002,30000016,Nazhgete VI,1
40001013,10000001,20000002,30000016,Nazhgete VII,4
40001036,10000001,20000002,30000016,Nazhgete VIII,4
40001060,10000001,20000002,30000016,Nazhgete IX,4
40001076,10000001,20000002,30000016,Nazhgete X,6
40001096,10000001,20000003,30000017,Futzchag I,2
40001097,10000001,20000003,30000017,Futzchag II,2
40001099,10000001,20000003,30000017,Futzchag III,7
40001101,10000001,20000003,30000017,Futzchag IV,5
40001103,10000001,20000003,30000017,Futzchag V,4
40001124,10000001,20000003,30000017,Futzchag VI,5
40001126,10000001,20000003,30000017,Futzchag VII,1
40001128,10000001,20000003,30000017,Futzchag VIII,4
40001154,10000001,20000003,30000017,Futzchag IX,4
40001176,10000001,20000003,30000017,Futzchag X,4
40001181,10000001,20000003,30000017,Futzchag XI,7
40001183,10000001,20000003,30000018,Kazna I,7
40001184,10000001,20000003,30000018,Kazna II,5
40001186,10000001,20000003,30000018,Kazna III,4
40001200,10000001,20000003,30000018,Kazna IV,3
40001203,10000001,20000003,30000018,Kazna V,4
40001224,10000001,20000003,30000018,Kazna VI,4
40001246,10000001,20000003,30000018,Kazna VII,6
40001266,10000001,20000003,30000019,Podion I,5
40001267,10000001,20000003,30000019,Podion II,2
40001269,10000001,20000003,30000019,Podion III,3
40001270,10000001,20000003,30000019,Podion IV,2
40001272,10000001,20000003,30000019,Podion V,4
40001281,10000001,20000003,30000019,Podion VI,4
40001292,10000001,20000003,30000019,Podion VII,4
40001316,10000001,20000003,30000019,Podion VIII,4
40001340,10000001,20000003,30000019,Podion IX,2
40001345,10000001,20000003,30000020,Lilmad I,7
40001347,10000001,20000003,30000020,Lilmad II,8
40001349,10000001,20000003,30000020,Lilmad III,5
40001351,10000001,20000003,30000020,Lilmad IV,4
40001367,10000001,20000003,30000020,Lilmad V,4
40001382,10000001,20000003,30000020,Lilmad VI,1
40001385,10000001,20000003,30000020,Lilmad VII,4
40001411,10000001,20000003,30000020,Lilmad VIII,6
40001415,10000001,20000003,30000021,Kuharah I,2
40001417,10000001,20000003,30000021,Kuharah II,7
40001419,10000001,20000003,30000021,Kuharah III,8
40001424,10000001,20000003,30000021,Kuharah IV,4
40001444,10000001,20000003,30000021,Kuharah V,4
40001463,10000001,20000003,30000021,Kuharah VI,4
40001492,10000001,20000003,30000021,Kuharah VII,3
40001495,10000001,20000003,30000021,Kuharah VIII,6
40001499,10000001,20000003,30000022,Jayneleb I,5
40001501,10000001,20000003,30000022,Jayneleb II,2
40001503,10000001,20000003,30000022,Jayneleb III,4
40001519,10000001,20000003,30000022,Jayneleb IV,4
40001526,10000001,20000003,30000022,Jayneleb V,4
40001550,10000001,20000003,30000022,Jayneleb VI,4
40001572,10000001,20000003,30000022,Jayneleb VII,3
40001575,10000001,20000003,30000022,Jayneleb VIII,7
40001578,10000001,20000003,30000022,Jayneleb IX,2
40001582,10000001,20000004,30000023,Fovihi I,2
40001584,10000001,20000004,30000023,Fovihi II,7
40001586,10000001,20000004,30000023,Fovihi III,8
40001589,10000001,20000004,30000023,Fovihi IV,4
40001593,10000001,20000004,30000023,Fovihi V,4
40001614,10000001,20000004,30000023,Fovihi VI,4
40001639,10000001,20000004,30000023,Fovihi VII,4
40001645,10000001,20000004,30000024,Kiereend I,2
40001647,10000001,20000004,30000024,Kiereend II,2
40001648,10000001,20000004,30000024,Kiereend III,8
40001650,10000001,20000004,30000024,Kiereend IV,2
40001652,10000001,20000004,30000024,Kiereend V,1
40001655,10000001,20000004,30000024,Kiereend VI,7
40001660,10000001,20000004,30000024,Kiereend VII,4
40001690,10000001,20000004,30000024,Kiereend VIII,4
40001713,10000001,20000004,30000025,Rashy I,2
40001715,10000001,20000004,30000025,Rashy II,1
40001717,10000001,20000004,30000025,Rashy III,4
40001732,10000001,20000004,30000025,Rashy IV,4
40001754,10000001,20000004,30000025,Rashy V,4
40001779,10000001,20000004,30000025,Rashy VI,8
40001785,10000001,20000004,30000026,Ordize I,5
40001786,10000001,20000004,30000026,Ordize II,1
40001789,10000001,20000004,30000026,Ordize III,4
40001809,10000001,20000004,30000026,Ordize IV,4
40001815,10000001,20000004,30000026,Ordize V,6
40001825,10000001,20000004,30000026,Ordize VI,3
40001829,10000001,20000004,30000026,Ordize VII,6
40001834,10000001,20000004,30000027,Psasa I,4
40001850,10000001,20000004,30000027,Psasa II,4
40001867,10000001,20000004,30000027,Psasa III,6
40001892,10000001,20000004,30000028,Eshtah I,5
40001894,10000001,20000004,30000028,Eshtah II,1
40001896,10000001,20000004,30000028,Eshtah III,7
40001899,10000001,20000004,30000028,Eshtah IV,2
40001903,10000001,20000004,30000028,Eshtah V,4
40001907,10000001,20000004,30000028,Eshtah VI,1
40001910,10000001,20000004,30000028,Eshtah VII,4
40001927,10000001,20000004,30000028,Eshtah VIII,4
40001957,10000001,20000004,30000028,Eshtah IX,4
40001981,10000001,20000004,30000028,Eshtah X,7
40001985,10000001,20000004,30000029,Lachailes I,2
40001986,10000001,20000004,30000029,Lachailes II,2
40001988,10000001,20000004,30000029,Lachailes III,2
40001991,10000001,20000004,30000029,Lachailes IV,1
40001994,10000001,20000004,30000029,Lachailes V,4
40002012,10000001,20000004,30000029,Lachailes VI,4
40002038,10000001,20000004,30000030,Kasrasi I,2
40002040,10000001,20000004,30000030,Kasrasi II,5
40002041,10000001,20000004,30000030,Kasrasi III,2
40002043,10000001,20000004,30000030,Kasrasi IV,2
40002045,10000001,20000004,30000030,Kasrasi V,2
40002047,10000001,20000004,30000030,Kasrasi VI,4
40002053,10000001,20000004,30000030,Kasrasi VII,7
40002056,10000001,20000004,30000030,Kasrasi VIII,4
40002068,10000001,20000004,30000030,Kasrasi IX,4
40002076,10000001,20000004,30000030,Kasrasi X,4
40002088,10000001,20000005,30000031,Mohas I,5
40002089,10000001,20000005,30000031,Mohas II,5
40002091,10000001,20000005,30000031,Mohas III,1
40002093,10000001,20000005,30000031,Mohas IV,5
40002096,10000001,20000005,30000031,Mohas V,2
40002098,10000001,20000005,30000031,Mohas VI,2
40002101,10000001,20000005,30000031,Mohas VII,1
40002104,10000001,20000005,30000031,Mohas VIII,4
40002123,10000001,20000005,30000031,Mohas IX,4
40002133,10000001,20000005,30000032,Hasiari I,2
40002134,10000001,20000005,30000032,Hasiari II,5
40002136,10000001,20000005,30000032,Hasiari III,2
40002138,10000001,20000005,30000032,Hasiari IV,2
40002139,10000001,20000005,30000032,Hasiari V,1
40002141,10000001,20000005,30000032,Hasiari VI,2
40002144,10000001,20000005,30000032,Hasiari VII,4
40002151,10000001,20000005,30000032,Hasiari VIII,4
40002156,10000001,20000005,30000032,Hasiari IX,2
40002158,10000001,20000005,30000033,Radima I,2
40002159,10000001,20000005,30000033,Radima II,2
40002162,10000001,20000005,30000033,Radima III,2
40002164,10000001,20000005,30000033,Radima IV,2
40002165,10000001,20000005,30000033,Radima V,5
40002167,10000001,20000005,30000033,Radima VI,4
40002171,10000001,20000005,30000033,Radima VII,2
40002173,10000001,20000005,30000033,Radima VIII,2
40002176,10000001,20000005,30000033,Radima IX,4
40002183,10000001,20000005,30000033,Radima X,4
40002202,10000001,20000005,30000033,Radima XI,4
40002236,10000001,20000005,30000033,Radima XII,2
40002243,10000001,20000005,30000034,Alkez I,5
40002245,10000001,20000005,30000034,Alkez II,2
40002246,10000001,20000005,30000034,Alkez III,2
40002248,10000001,20000005,30000034,Alkez IV,4
40002252,10000001,20000005,30000034,Alkez V,7
40002257,10000001,20000005,30000034,Alkez VI,2
40002261,10000001,20000005,30000034,Alkez VII,4
40002282,10000001,20000005,30000034,Alkez VIII,6
40002288,10000001,20000005,30000035,Nimambal I,2
40002289,10000001,20000005,30000035,Nimambal II,5
40002290,10000001,20000005,30000035,Nimambal III,2
40002291,10000001,20000005,30000035,Nimambal IV,8
40002292,10000001,20000005,30000035,Nimambal V,2
40002295,10000001,20000005,30000035,Nimambal VI,4
40002299,10000001,20000005,30000035,Nimambal VII,4
40002323,10000001,20000005,30000035,Nimambal VIII,4
40002328,10000001,20000005,30000035,Nimambal IX,4
40002336,10000001,20000005,30000035,Nimambal X,7
40002341,10000001,20000005,30000036,Yishinoon I,7
40002343,10000001,20000005,30000036,Yishinoon II,1
40002345,10000001,20000005,30000036,Yishinoon III,5
40002348,10000001,20000005,30000036,Yishinoon IV,4
40002364,10000001,20000005,30000036,Yishinoon V,4
40002382,10000001,20000005,30000036,Yishinoon VI,4
40002412,10000001,20000005,30000036,Yishinoon VII,2
40002418,10000001,20000005,30000037,Uplingur I,2
40002420,10000001,20000005,30000037,Uplingur II,4
40002426,10000001,20000005,30000037,Uplingur III,4
40002444,10000001,20000005,30000037,Uplingur IV,6
40002478,10000001,20000006,30000038,Dooz I,2
40002479,10000001,20000006,30000038,Dooz II,2
40002480,10000001,20000006,30000038,Dooz III,5
40002482,10000001,20000006,30000038,Dooz IV,1
40002486,10000001,20000006,30000038,Dooz V,4
40002511,10000001,20000006,30000038,Dooz VI,3
40002515,10000001,20000006,30000039,Bayuka I,5
40002516,10000001,20000006,30000039,Bayuka II,2
40002518,10000001,20000006,30000039,Bayuka III,5
40002520,10000001,20000006,30000039,Bayuka IV,2
40002522,10000001,20000006,30000039,Bayuka V,4
40002552,10000001,20000006,30000039,Bayuka VI,4
40002574,10000001,20000006,30000039,Bayuka VII,4
40002593,10000001,20000006,30000039,Bayuka VIII,7
40002597,10000001,20000006,30000039,Bayuka IX,2
40002601,10000001,20000006,30000039,Bayuka X,6
40002612,10000001,20000006,30000040,Uzistoon I,2
40002613,10000001,20000006,30000040,Uzistoon II,5
40002614,10000001,20000006,30000040,Uzistoon III,2
40002615,10000001,20000006,30000040,Uzistoon IV,1
40002617,10000001,20000006,30000040,Uzistoon V,1
40002619,10000001,20000006,30000040,Uzistoon VI,4
40002635,10000001,20000006,30000040,Uzistoon VII,4
40002659,10000001,20000006,30000040,Uzistoon VIII,3
40002666,10000001,20000006,30000041,Bairshir I,2
40002667,10000001,20000006,30000041,Bairshir II,2
40002669,10000001,20000006,30000041,Bairshir III,4
40002674,10000001,20000006,30000041,Bairshir IV,4
40002687,10000001,20000006,30000041,Bairshir V,4
40002714,10000001,20000006,30000041,Bairshir VI,6
40002725,10000001,20000006,30000042,Moh I,5
40002727,10000001,20000006,30000042,Moh II,2
40002728,10000001,20000006,30000042,Moh III,5
40002730,10000001,20000006,30000042,Moh IV,3
40002734,10000001,20000006,30000042,Moh V,4
40002746,10000001,20000006,30000042,Moh VI,2
40002752,10000001,20000006,30000042,Moh VII,7
40002759,10000001,20000006,30000043,Sari I,5
40002760,10000001,20000006,30000043,Sari II,5
40002761,10000001,20000006,30000043,Sari III,2
40002763,10000001,20000006,30000043,Sari IV,1
40002767,10000001,20000006,30000043,Sari V,4
40002784,10000001,20000006,30000043,Sari VI,4
40002814,10000001,20000006,30000043,Sari VII,1
40002818,10000001,20000006,30000043,Sari VIII,2
40002822,10000001,20000006,30000043,Sari IX,6
40002838,10000001,20000007,30000044,Faspera I,5
40002839,10000001,20000007,30000044,Faspera II,2
40002840,10000001,20000007,30000044,Faspera III,3
40002841,10000001,20000007,30000044,Faspera IV,5
40002845,10000001,20000007,30000044,Faspera V,2
40002847,10000001,20000007,30000044,Faspera VI,2
40002851,10000001,20000007,30000044,Faspera VII,3
40002853,10000001,20000007,30000044,Faspera VIII,7
40002858,10000001,20000007,30000045,Jaymass I,2
40002860,10000001,20000007,30000045,Jaymass II,7
40002862,10000001,20000007,30000045,Jaymass III,3
40002864,10000001,20000007,30000045,Jaymass IV,4
40002868,10000001,20000007,30000045,Jaymass V,4
40002888,10000001,20000007,30000045,Jaymass VI,4
40002917,10000001,20000007,30000045,Jaymass VII,3
40002920,10000001,20000007,30000046,Mifrata I,2
40002921,10000001,20000007,30000046,Mifrata II,8
40002922,10000001,20000007,30000046,Mifrata III,7
40002925,10000001,20000007,30000046,Mifrata IV,4
40002942,10000001,20000007,30000046,Mifrata V,4
40002968,10000001,20000007,30000046,Mifrata VI,6
40002974,10000001,20000007,30000046,Mifrata VII,3
40002980,10000001,20000007,30000047,Majamar I,8
40002982,10000001,20000007,30000047,Majamar II,5
40002984,10000001,20000007,30000047,Majamar III,7
40002987,10000001,20000007,30000047,Majamar IV,7
40002990,10000001,20000007,30000047,Majamar V,7
40002993,10000001,20000007,30000047,Majamar VI,4
40003012,10000001,20000007,30000047,Majamar VII,4
40003033,10000001,20000007,30000047,Majamar VIII,6
40003049,10000001,20000007,30000047,Majamar IX,6
40003055,10000001,20000007,30000047,Majamar X,2
40003060,10000001,20000007,30000048,Ihal I,5
40003062,10000001,20000007,30000048,Ihal II,5
40003064,10000001,20000007,30000048,Ihal III,4
40003069,10000001,20000007,30000048,Ihal IV,7
40003073,10000001,20000007,30000048,Ihal V,4
40003086,10000001,20000007,30000048,Ihal VI,4
40003108,10000001,20000007,30000048,Ihal VII,4
40003128,10000001,20000007,30000048,Ihal VIII,4
40003147,10000001,20000007,30000048,Ihal IX,2
40003152,10000001,20000007,30000048,Ihal X,7
40003158,10000001,20000007,30000049,Camal I,5
40003159,10000001,20000007,30000049,Camal II,2
40003161,10000001,20000007,30000049,Camal III,3
40003163,10000001,20000007,30000049,Camal IV,1
40003166,10000001,20000007,30000049,Camal V,2
40003168,10000001,20000007,30000049,Camal VI,4
40003172,10000001,20000007,30000049,Camal VII,4
40003179,10000001,20000007,30000049,Camal VIII,2
40003182,10000001,20000007,30000049,Camal IX,1
40003187,10000001,20000007,30000050,Fera I,2
40003188,10000001,20000007,30000050,Fera II,8
40003190,10000001,20000007,30000050,Fera III,7
40003193,10000001,20000007,30000050,Fera IV,7
40003197,10000001,20000008,30000051,Juddi I,2
40003200,10000001,20000008,30000051,Juddi II,2
40003201,10000001,20000008,30000051,Juddi III,5
40003203,10000001,20000008,30000051,Juddi IV,7
40003205,10000001,20000008,30000051,Juddi V,2
40003206,10000001,20000008,30000051,Juddi VI,1
40003209,10000001,20000008,30000051,Juddi VII,4
40003228,10000001,20000008,30000051,Juddi VIII,4
40003239,10000001,20000008,30000051,Juddi IX,4
40003261,10000001,20000008,30000051,Juddi X,4
40003267,10000001,20000008,30000051,Juddi XI,2
40003271,10000001,20000008,30000052,Maspah I,8
40003272,10000001,20000008,30000052,Maspah II,2
40003274,10000001,20000008,30000052,Maspah III,1
40003276,10000001,20000008,30000052,Maspah IV,4
40003284,10000001,20000008,30000052,Maspah V,4
40003303,10000001,20000008,30000052,Maspah VI,4
40003330,10000001,20000008,30000052,Maspah VII,2
40003336,10000001,20000008,30000053,Ibaria I,2
40003339,10000001,20000008,30000053,Ibaria II,3
40003341,10000001,20000008,30000053,Ibaria III,5
40003344,10000001,20000008,30000053,Ibaria IV,1
40003348,10000001,20000008,30000054,Shala I,5
40003349,10000001,20000008,30000054,Shala II,7
40003353,10000001,20000008,30000054,Shala III,4
40003367,10000001,20000008,30000054,Shala IV,4
40003372,10000001,20000008,30000054,Shala V,4
40003379,10000001,20000008,30000054,Shala VI,2
40003382,10000001,20000008,30000054,Shala VII,7
40003386,10000001,20000008,30000054,Shala VIII,3
40003392,10000001,20000008,30000055,Zemalu I,5
40003393,10000001,20000008,30000055,Zemalu II,5
40003395,10000001,20000008,30000055,Zemalu III,2
40003397,10000001,20000008,30000055,Zemalu IV,2
40003400,10000001,20000008,30000055,Zemalu V,3
40003402,10000001,20000008,30000055,Zemalu VI,2
40003406,10000001,20000008,30000055,Zemalu VII,2
40003409,10000001,20000008,30000055,Zemalu VIII,4
40003415,10000001,20000008,30000055,Zemalu IX,1
40003420,10000001,20000008,30000056,Khankenirdia I,7
40003423,10000001,20000008,30000056,Khankenirdia II,1
40003425,10000001,20000008,30000056,Khankenirdia III,4
40003428,10000001,20000008,30000056,Khankenirdia IV,1
40003431,10000001,20000008,30000056,Khankenirdia V,4
40003451,10000001,20000008,30000056,Khankenirdia VI,2
40003455,10000001,20000008,30000056,Khankenirdia VII,2
40003457,10000001,20000008,30000056,Khankenirdia VIII,6
40003466,10000001,20000008,30000056,Khankenirdia IX,2
40003469,10000001,20000008,30000056,Khankenirdia X,5
40003474,10000001,20000009,30000057,Nikh I,2
40003476,10000001,20000009,30000057,Nikh II,7
40003478,10000001,20000009,30000057,Nikh III,1
40003480,10000001,20000009,30000057,Nikh IV,4
40003485,10000001,20000009,30000057,Nikh V,4
40003504,10000001,20000009,30000057,Nikh VI,4
40003530,10000001,20000009,30000057,Nikh VII,6
40003537,10000001,20000009,30000057,Nikh VIII,6
40003543,10000001,20000009,30000058,Amphar I,2
40003544,10000001,20000009,30000058,Amphar II,2
40003546,10000001,20000009,30000058,Amphar III,2
40003548,10000001,20000009,30000058,Amphar IV,7
40003553,10000001,20000009,30000058,Amphar V,7
40003556,10000001,20000009,30000058,Amphar VI,4
40003563,10000001,20000009,30000058,Amphar VII,4
40003568,10000001,20000009,30000058,Amphar VIII,4
40003594,10000001,20000009,30000058,Amphar IX,4
40003621,10000001,20000009,30000059,Salashayama I,2
40003622,10000001,20000009,30000059,Salashayama II,2
40003624,10000001,20000009,30000059,Salashayama III,2
40003626,10000001,20000009,30000059,Salashayama IV,7
40003628,10000001,20000009,30000059,Salashayama V,2
40003632,10000001,20000009,30000059,Salashayama VI,4
40003637,10000001,20000009,30000059,Salashayama VII,4
40003650,10000001,20000009,30000059,Salashayama VIII,4
40003660,10000001,20000009,30000060,Janus I,5
40003662,10000001,20000009,30000060,Janus II,2
40003664,10000001,20000009,30000060,Janus III,2
40003667,10000001,20000009,30000060,Janus IV,2
40003670,10000001,20000009,30000060,Janus V,3
40003671,10000001,20000009,30000060,Janus VI,5
40003675,10000001,20000009,30000060,Janus VII,4
40003683,10000001,20000009,30000060,Janus VIII,4
40003687,10000001,20000009,30000060,Janus IX,4
40003703,10000001,20000009,30000060,Janus X,8
40003708,10000001,20000009,30000061,Agha I,2
40003709,10000001,20000009,30000061,Agha II,2
40003710,10000001,20000009,30000061,Agha III,2
40003712,10000001,20000009,30000061,Agha IV,2
40003715,10000001,20000009,30000061,Agha V,1
40003717,10000001,20000009,30000061,Agha VI,1
40003720,10000001,20000009,30000061,Agha VII,4
40003731,10000001,20000009,30000061,Agha VIII,4
40003755,10000001,20000009,30000061,Agha IX,4
40003781,10000001,20000009,30000061,Agha X,4
40003808,10000001,20000009,30000062,Iosantin I,5
40003810,10000001,20000009,30000062,Iosantin II,2
40003812,10000001,20000009,30000062,Iosantin III,2
40003813,10000001,20000009,30000062,Iosantin IV,7
40003815,10000001,20000009,30000062,Iosantin V,4
40003818,10000001,20000009,30000062,Iosantin VI,1
40003821,10000001,20000009,30000062,Iosantin VII,4
40003839,10000001,20000009,30000062,Iosantin VIII,4
40003867,10000001,20000009,30000063,Orva I,2
40003869,10000001,20000009,30000063,Orva II,2
40003871,10000001,20000009,30000063,Orva III,1
40003873,10000001,20000009,30000063,Orva IV,5
40003876,10000001,20000009,30000063,Orva V,4
40003895,10000001,20000009,30000063,Orva VI,4
40003909,10000001,20000009,30000063,Orva VII,4
40003932,10000001,20000009,30000063,Orva VIII,4
40003942,10000001,20000009,30000063,Orva IX,6
40003946,10000001,20000009,30000063,Orva X,7
40003951,10000001,20000009,30000064,Zet I,2
40003953,10000001,20000009,30000064,Zet II,2
40003955,10000001,20000009,30000064,Zet III,4
40003974,10000001,20000009,30000064,Zet IV,4
40003995,10000001,20000009,30000064,Zet V,5
40003999,10000001,20000009,30000064,Zet VI,2
40004003,10000001,20000009,30000064,Zet VII,4
40004030,10000001,20000009,30000064,Zet VIII,2
40004036,10000001,20000009,30000065,Akhrad I,5
40004037,10000001,20000009,30000065,Akhrad II,2
40004039,10000001,20000009,30000065,Akhrad III,8
40004041,10000001,20000009,30000065,Akhrad IV,5
40004043,10000001,20000009,30000065,Akhrad V,1
40004045,10000001,20000009,30000065,Akhrad VI,2
40004048,10000001,20000009,30000065,Akhrad VII,4
40004067,10000001,20000009,30000065,Akhrad VIII,4
40004093,10000001,20000009,30000065,Akhrad IX,4
40004101,10000001,20000009,30000065,Akhrad X,4
40004114,10000001,20000009,30000065,Akhrad XI,3
40004119,10000001,20000009,30000065,Akhrad XII,3
40004123,10000001,20000009,30000066,Pirohdim I,4
40004133,10000001,20000009,30000066,Pirohdim II,4
40004145,10000001,20000009,30000066,Pirohdim III,4
40004164,10000001,20000009,30000066,Pirohdim IV,4
40004189,10000001,20000009,30000066,Pirohdim V,4
40004210,10000001,20000009,30000066,Pirohdim VI,2
40004214,10000001,20000009,30000066,Pirohdim VII,2
40004218,10000001,20000009,30000066,Pirohdim VIII,2
40004221,10000001,20000009,30000067,Sharir I,2
40004222,10000001,20000009,30000067,Sharir II,2
40004223,10000001,20000009,30000067,Sharir III,5
40004225,10000001,20000009,30000067,Sharir IV,2
40004227,10000001,20000009,30000067,Sharir V,1
40004231,10000001,20000009,30000067,Sharir VI,1
40004234,10000001,20000009,30000067,Sharir VII,4
40004249,10000001,20000009,30000067,Sharir VIII,4
